participant,device,trial,dbltapTime,dbltapTime1,dbltapTime2,dbltapTimeBetween,dbltapAccuracy1,dbltapAccuracy2,dbltapAccuracy
1,1,0,479,39,27,208,9.90,5.10,7.50
10,1,0,454,83,56,231,12.04,7.00,9.52
100,1,0,151,21,14,88,7.81,9.22,8.51
101,1,0,208,34,32,138,8.54,6.08,7.77
102,1,0,187,33,15,114,4.24,3.16,3.70
103,1,0,189,15,13,111,2.83,15.62,9.55
104,1,0,185,35,14,114,3.16,8.06,5.85
105,1,0,181,36,21,65,8.25,7.07,7.66
106,1,0,221,75,53,90,9.22,2.24,6.85
107,1,0,206,34,16,113,5.10,8.60,7.16
108,1,0,293,13,35,138,15.62,4.12,10.58
109,1,0,192,16,15,116,3.16,3.61,4.63
110,1,0,186,35,15,115,5.00,1.00,3.00
111,1,0,159,16,35,63,9.22,14.14,12.69
112,1,0,492,55,53,364,8.06,6.08,7.54
113,1,0,146,11,15,115,5.10,6.40,7.11
114,1,0,166,15,13,116,7.00,9.22,8.11
115,1,0,280,13,34,230,10.20,10.77,12.05
116,1,0,146,14,14,115,15.62,12.81,14.21
117,1,0,186,31,13,137,5.10,10.00,9.98
118,1,0,149,15,13,113,8.25,9.06,10.89
119,1,0,162,13,14,95,9.90,12.04,12.38
12,1,0,387,35,52,197,10.30,1.41,13.05
120,1,0,178,13,49,111,7.00,8.06,9.16
121,1,0,185,33,14,117,4.24,7.28,9.14
122,1,0,185,35,16,92,2.83,3.61,3.22
123,1,0,146,16,14,90,9.22,8.06,8.64
124,1,0,496,35,33,361,5.00,13.00,10.00
125,1,0,172,16,15,112,4.24,6.08,6.73
126,1,0,154,16,12,94,8.00,7.07,9.13
127,1,0,159,13,18,128,5.00,6.08,7.51
128,1,0,166,37,13,91,11.00,7.62,10.88
129,1,0,140,12,13,69,7.81,2.24,7.81
13,1,0,271,72,36,159,7.28,9.43,11.04
14,1,0,485,166,134,136,8.06,7.28,9.35
15,1,0,440,116,96,228,12.17,9.22,10.93
16,1,0,336,54,57,183,7.28,11.18,9.23
17,1,0,527,77,54,341,5.39,5.00,5.19
18,1,0,277,57,15,135,9.22,8.06,9.76
19,1,0,405,55,38,279,6.08,15.81,16.64
2,1,0,296,53,35,183,8.54,11.05,14.58
20,1,0,257,35,14,183,15.65,10.63,15.97
21,1,0,539,195,99,227,8.54,14.76,11.65
22,1,0,640,155,99,250,18.97,10.20,16.32
23,1,0,333,69,56,203,13.89,8.60,12.93
24,1,0,597,210,135,229,4.12,9.49,13.86
25,1,0,452,56,34,295,9.06,7.62,11.10
26,1,0,380,55,34,227,8.06,12.04,14.09
27,1,0,425,73,54,276,2.00,4.12,4.16
28,1,0,361,55,35,247,10.00,5.00,12.70
3,1,0,639,192,175,184,9.85,7.07,11.87
30,1,0,676,174,137,365,5.83,3.61,8.61
31,1,0,972,288,378,107,8.49,3.61,6.05
32,1,0,1324,416,474,179,8.54,8.06,8.30
33,1,0,384,55,35,224,9.49,9.85,12.08
34,1,0,625,153,136,271,13.93,15.65,16.86
35,1,0,335,79,59,173,6.00,6.08,10.50
36,1,0,426,52,48,227,8.25,3.16,6.11
37,1,0,594,175,154,204,7.07,9.22,9.61
38,1,0,529,96,116,316,14.32,4.24,11.88
39,1,0,1264,631,497,136,14.76,12.04,20.42
4,1,0,297,15,21,178,15.03,15.62,15.87
40,1,0,416,72,35,184,10.44,8.06,9.25
41,1,0,347,34,54,134,5.00,8.94,9.57
42,1,0,402,34,16,206,11.05,5.00,11.35
43,1,0,591,78,255,17,5.10,6.00,6.35
44,1,0,402,55,35,70,15.30,10.77,13.03
45,1,0,859,175,133,215,22.80,13.60,23.44
46,1,0,542,15,237,70,16.28,14.87,18.17
47,1,0,776,294,113,208,9.49,18.44,23.75
48,1,0,592,54,33,251,27.29,19.42,26.09
49,1,0,407,15,15,275,14.56,10.05,15.04
5,1,0,231,38,56,68,7.28,5.39,6.33
50,1,0,466,14,56,271,22.02,24.41,23.22
51,1,0,1098,525,253,320,2.24,21.10,11.67
52,1,0,697,15,15,206,12.81,8.54,13.96
53,1,0,819,219,210,295,11.40,9.22,10.31
54,1,0,,,,,,,
