participant,device,trial,multidragdropTime,multiAccuracy1,multiAccuracy2,multiAccuracy3,multiAccuracy4,multiAccuracy,multiPathAccuracy1,multiPathAccuracy2,multiPathAccuracy
1,1,0,1808,7.28,7.07,10.00,10.63,18.09,.9881,.9918,.9899
10,1,0,2499,13.00,16.49,2.83,13.15,11.37,.9413,.9064,.9238
100,1,0,862,4.12,3.61,12.81,1.41,13.55,1.0000,.9993,.9977
101,1,0,1184,7.81,2.24,22.36,6.32,13.67,.9699,1.0000,.9849
102,1,0,398,12.53,1.41,10.30,1.41,8.52,.9993,.9962,.9953
103,1,0,847,8.06,6.40,3.16,4.12,11.14,.9994,.9962,.9947
104,1,0,649,5.00,3.61,11.05,5.39,13.72,.9910,.9974,.9904
105,1,0,945,2.83,2.00,14.00,6.32,10.68,.9949,.9937,.9943
106,1,0,748,7.07,12.37,8.06,10.05,13.89,1.0000,.9998,.9999
107,1,0,336,13.45,14.14,8.06,14.42,16.79,.9985,.9996,.9986
108,1,0,302,28.00,7.21,9.06,10.77,18.29,.9999,1.0000,.9999
109,1,0,249,12.17,16.12,20.00,13.60,24.75,1.0000,.9999,.9976
110,1,0,1544,.00,10.77,3.16,5.83,9.91,.9876,.9905,.9890
111,1,0,680,2.83,14.87,6.32,16.12,12.32,.9975,.9942,.9889
112,1,0,632,3.16,6.32,6.40,7.00,13.23,.9998,.9986,.9972
113,1,0,660,14.87,6.08,14.14,9.22,18.43,.9947,.9934,.9856
114,1,0,880,7.00,11.18,6.71,13.15,12.93,.9997,.9990,.9993
115,1,0,614,21.38,8.06,7.28,5.10,22.34,.9966,.9939,.9927
116,1,0,854,16.03,15.81,13.00,14.56,21.56,.9805,.9998,.9807
117,1,0,647,19.10,9.22,9.06,2.00,9.84,.9993,.9999,.9996
118,1,0,221,2.24,8.06,9.90,4.12,13.09,1.0000,.9993,.9995
119,1,0,316,9.22,4.12,4.47,13.00,17.35,1.0000,.9999,1.0000
12,1,0,1912,29.07,6.08,17.09,4.12,17.46,.9892,.9882,.9863
120,1,0,191,23.43,34.83,10.20,1.41,26.41,.9997,1.0000,.9992
121,1,0,512,10.00,1.00,4.12,4.12,9.18,.9995,.9950,.9973
122,1,0,404,5.10,8.06,12.37,6.08,9.88,.9992,.9988,.9990
123,1,0,406,18.03,2.83,13.15,6.00,12.28,.9965,.9963,.9912
124,1,0,371,21.10,7.21,6.08,2.00,12.66,1.0000,1.0000,.9994
125,1,0,508,6.08,10.77,7.81,4.12,13.69,.9951,.9957,.9911
126,1,0,612,8.06,2.24,4.47,9.43,8.28,.9991,.9993,.9992
127,1,0,526,7.00,7.81,9.22,7.07,11.92,.9983,.9999,.9973
128,1,0,729,14.04,5.10,22.47,2.83,16.74,.9988,.9922,.9871
129,1,0,1096,13.45,7.07,15.00,28.60,19.62,.9859,.9927,.9893
13,1,0,2996,2.24,5.66,3.61,1.00,11.54,.9556,.8914,.8854
14,1,0,2064,10.82,8.25,14.87,3.61,20.34,.9278,.9802,.8294
15,1,0,1082,16.28,10.82,9.49,6.08,15.86,.9902,.9773,.9838
16,1,0,986,8.54,1.41,13.89,9.06,18.67,.9764,.9889,.9714
17,1,0,1673,6.00,6.40,5.10,2.24,5.56,.9912,1.0000,.9878
18,1,0,1789,10.20,9.06,3.16,3.61,16.27,.9952,.9980,.9958
19,1,0,2153,17.72,8.54,29.07,14.21,17.41,.9783,.6771,.8035
2,1,0,976,12.81,8.06,21.63,7.07,16.50,1.0000,.9978,.9989
20,1,0,1952,13.60,3.61,7.81,4.47,15.34,.9907,.9981,.9939
21,1,0,4032,24.33,6.32,14.32,1.00,13.61,.9889,.9817,.9853
22,1,0,2135,17.03,4.47,23.41,4.24,15.87,.8049,.9501,.8737
23,1,0,4844,13.45,3.16,12.04,4.12,11.74,.7832,.8237,.8034
24,1,0,2829,16.12,7.21,20.12,8.94,17.12,.9810,.9731,.9770
25,1,0,2270,34.13,14.32,23.02,5.00,24.99,.9830,.9437,.9457
26,1,0,1389,11.18,13.04,6.40,11.40,21.21,.9994,1.0000,.9997
27,1,0,1575,2.24,.00,12.17,1.00,14.13,.9801,.9847,.9824
28,1,0,2340,17.20,4.12,2.24,10.20,14.33,1.0000,1.0000,.9882
3,1,0,1837,11.40,4.12,11.40,8.06,20.04,.9982,.9965,.9874
30,1,0,2631,10.00,5.39,5.39,5.66,19.87,.9988,.9965,.9861
31,1,0,1552,14.42,16.28,16.28,6.71,13.42,.9579,.9481,.9530
32,1,0,1528,8.54,3.00,21.10,11.70,15.65,.9940,.9847,.9869
33,1,0,1770,5.39,17.20,17.20,2.00,13.01,.9982,.9819,.9900
34,1,0,2031,10.77,7.28,13.04,7.28,19.95,.9887,.9920,.9775
35,1,0,1019,4.24,7.21,7.21,25.02,25.74,.9969,.9982,.9965
36,1,0,1298,18.60,5.00,9.85,4.12,12.12,.9855,.9996,.9892
37,1,0,1792,7.28,9.22,7.00,17.20,21.80,.9673,.9987,.9830
38,1,0,1743,14.32,5.83,16.16,14.21,16.98,.9943,.9989,.9958
39,1,0,2256,11.40,11.40,18.25,16.97,22.95,.9115,.9272,.9194
4,1,0,1905,11.40,4.12,10.77,12.04,16.01,.9997,.9972,.9981
40,1,0,1005,10.05,8.06,10.30,5.39,12.99,.9789,.9891,.9840
41,1,0,2289,8.60,3.16,4.12,6.08,12.23,.9735,.9954,.9839
42,1,0,2064,4.47,8.25,20.40,5.83,15.60,.9167,.8848,.8781
43,1,0,1491,8.06,10.82,21.02,15.23,24.00,.9992,.9988,.9990
44,1,0,4602,25.50,11.18,54.08,27.07,29.46,.4961,.7393,.6177
45,1,0,4109,33.42,32.56,26.00,64.03,39.00,.9652,.9643,.9647
46,1,0,3050,25.63,65.76,64.20,31.76,46.84,.7689,.7805,.7747
47,1,0,3762,30.02,18.03,19.42,29.07,29.33,.6949,.7812,.7110
48,1,0,1172,6.40,7.21,13.60,3.00,16.34,.9977,.9939,.9958
49,1,0,1801,12.37,8.00,7.07,3.16,18.58,.9725,.9914,.9820
5,1,0,1773,7.62,4.24,10.05,5.00,15.21,.9736,.9184,.8990
50,1,0,2326,21.02,8.00,23.35,23.85,22.57,.9098,.9489,.8951
51,1,0,2231,10.20,6.00,14.14,6.08,15.19,.8897,.9304,.9100
52,1,0,2355,9.22,15.30,13.00,21.47,18.47,.9482,.9897,.9689
53,1,0,2258,33.02,18.03,37.11,21.10,27.86,.9681,.8957,.9017
54,1,0,1766,25.24,29.15,.00,18.60,26.45,1.0000,.9923,.9961
55,1,0,2332,24.02,9.00,26.93,13.42,30.32,.9892,.9913,.9593
56,1,0,4846,25.32,25.61,56.30,22.63,32.47,.6048,.7530,.6789
57,1,0,3124,11.66,22.20,9.90,11.40,22.04,.9951,.9688,.9804
58,1,0,2861,18.25,12.81,20.81,8.00,18.92,.9824,.8968,.9396
