participant,device,trial,sgldragdropTime,slgdragdropAccuracy1,sgldragdropAccuracy2,sgldragdropAccuracy,sgldragdropPathAccuracy
1,1,0,1470,16.12,8.00,17.25,.9575
10,1,0,1633,8.06,8.49,8.27,.9176
100,1,0,420,8.54,1.00,7.78,.9885
101,1,0,1206,7.81,4.12,8.16,.9830
102,1,0,340,3.61,1.41,7.65,.9948
103,1,0,722,9.06,7.62,8.56,.9836
104,1,0,522,1.41,7.81,4.61,.9936
105,1,0,880,3.16,3.16,4.08,.9738
106,1,0,984,10.00,7.00,11.26,.9830
107,1,0,178,2.24,25.81,16.93,.9949
108,1,0,318,9.85,8.06,12.93,.9776
109,1,0,199,2.83,16.12,13.76,.9899
110,1,0,748,5.00,4.12,6.45,.9832
111,1,0,439,8.06,7.21,8.75,.9811
112,1,0,340,1.41,9.06,5.23,.9843
113,1,0,360,3.61,5.39,7.39,.9797
114,1,0,879,14.76,4.24,10.64,.9885
115,1,0,400,19.21,11.66,15.44,.9917
116,1,0,602,10.63,15.81,20.85,.9979
117,1,0,520,8.25,5.66,7.98,.9744
118,1,0,402,13.04,4.12,9.69,.9915
119,1,0,341,15.13,13.42,16.84,.9877
12,1,0,1067,13.00,8.06,11.91,.9845
120,1,0,350,8.60,21.21,19.47,.9814
121,1,0,339,6.08,5.83,5.96,.9856
122,1,0,862,2.00,5.66,6.39,.9898
123,1,0,420,8.06,4.12,10.13,.9918
124,1,0,318,5.10,17.80,14.31,.9855
125,1,0,481,7.62,5.39,9.24,.9833
126,1,0,437,5.83,13.93,14.71,.9916
127,1,0,413,17.20,8.06,13.53,.9875
128,1,0,662,10.30,8.94,13.20,.9926
129,1,0,639,14.87,5.83,10.35,.9913
13,1,0,1287,4.24,1.41,7.62,.9779
14,1,0,1648,10.77,4.12,11.40,.9487
15,1,0,1282,15.65,6.08,15.39,.9724
16,1,0,902,9.00,9.85,9.42,.9863
17,1,0,1544,10.30,5.10,10.11,.9589
18,1,0,1450,7.21,4.12,11.67,.9861
19,1,0,1161,4.12,10.00,11.25,.9782
2,1,0,624,4.47,14.21,18.07,.9812
20,1,0,1986,6.32,4.00,6.80,.9702
21,1,0,4204,10.30,3.00,7.84,.8987
22,1,0,1722,16.03,8.06,16.52,.9599
23,1,0,3291,11.66,1.00,6.95,.9418
24,1,0,2206,13.34,7.07,15.07,.9604
25,1,0,2107,18.79,5.00,15.91,.9530
26,1,0,1103,21.10,8.60,15.96,.9783
27,1,0,1206,6.40,.00,4.53,.9646
28,1,0,1412,6.71,1.41,4.06,.9691
3,1,0,1669,7.28,7.81,11.29,.9829
30,1,0,1293,19.42,4.47,12.54,.9642
31,1,0,1544,10.30,15.23,13.29,.9693
32,1,0,1954,19.80,4.00,15.09,.9571
33,1,0,1392,12.17,11.18,13.99,.9807
34,1,0,1334,31.06,5.39,22.05,.9806
35,1,0,789,4.24,9.22,10.68,.9849
36,1,0,1049,8.60,6.32,8.91,.9791
37,1,0,1615,24.60,10.00,17.30,.9735
38,1,0,1736,7.07,10.30,11.19,.9648
39,1,0,2410,20.52,23.09,23.41,.9191
4,1,0,681,7.28,8.54,8.66,.9833
40,1,0,764,8.06,12.00,12.10,.9826
41,1,0,2231,6.40,4.24,7.47,.9478
42,1,0,1592,17.00,7.81,13.51,.9711
43,1,0,1333,27.20,13.93,21.17,.9372
44,1,0,1962,11.18,16.28,19.60,.8421
45,1,0,1866,9.00,20.62,15.01,.9005
46,1,0,561,17.03,15.62,30.01,.9897
47,1,0,4107,13.42,14.42,13.92,.9014
48,1,0,1393,21.26,4.00,22.35,.9603
49,1,0,1693,5.00,4.12,7.50,.9754
5,1,0,720,7.00,4.47,8.42,.9862
50,1,0,1510,4.12,2.24,8.58,.9633
51,1,0,2130,9.06,7.28,14.20,.9388
52,1,0,1428,7.07,17.26,12.17,.8732
53,1,0,1906,3.16,14.87,16.77,.9615
54,1,0,1161,14.76,10.63,13.96,.9817
55,1,0,2618,17.69,5.83,11.76,.9381
56,1,0,2199,28.86,39.96,34.41,.9325
57,1,0,4681,3.16,10.05,10.80,.9202
58,1,0,1855,28.79,11.18,19.99,.8999
59,1,0,2601,19.42,9.22,15.38,.9282
6,1,0,2864,13.42,10.05,14.77,.9378
60,1,0,2397,1.00,16.12,16.72,.9221
61,1,0,886,6.71,3.16,9.00,.9771
62,1,0,2054,3.61,3.16,10.07,.9690
63,1,0,1937,4.12,5.00,6.53,.9473
64,1,0,2373,16.76,12.04,14.40,.8545
65,1,0,1421,15.56,2.83,20.08,.9612
66,1,0,1319,26.08,10.00,20.14,.9687
67,1,0,2653,5.00,17.00,19.53,.9038
68,1,0,1401,27.46,9.06,27.86,.9648
69,1,0,3422,18.25,24.08,29.70,.9111
70,1,0,1811,19.72,2.83,13.40,.9693
71,1,0,1491,9.49,2.24,10.57,.9588
72,1,0,1222,5.39,7.62,15.45,.9702
73,1,0,94,9.85,12.00,10.92,.9903
74,1,0,2213,14.87,17.89,16.38,.9118
75,1,0,2783,16.16,2.24,10.55,.9293
76,1,0,2431,11.66,14.14,16.97,.9683
77,1,0,2432,12.04,24.60,19.03,.9331
78,1,0,2044,1.00,2.00,3.69,.9597
79,1,0,1493,8.06,7.21,8.03,.9780
8,1,0,1589,15.81,2.24,10.91,.9772
80,1,0,2805,15.65,5.39,10.52,.8186
81,1,0,1366,11.40,6.08,14.92,.9721
82,1,0,2715,7.81,9.43,13.03,.9007
83,1,0,3322,17.09,21.63,19.36,.7946
84,1,0,1868,12.37,17.26,24.07,.9570
85,1,0,2292,19.10,10.05,23.47,.9487
86,1,0,1887,20.00,2.24,14.98,.9602
87,1,0,1390,10.82,28.02,22.74,.9800
88,1,0,1202,14.87,14.87,20.20,.9770
89,1,0,1233,17.12,5.00,11.25,.9843
9,1,0,1284,13.34,4.00,8.67,.9827
90,1,0,1011,10.63,1.00,7.82,.9743
93,1,0,1789,18.44,5.83,13.36,.9569
94,1,0,1666,2.83,5.00,3.91,.9557
