participant,device,trial,tapTime,tapAccuracy
1,1,1,224,3.00
1,1,2,116,8.60
1,1,3,203,25.32
1,1,4,824,27.46
1,1,5,36,36.24
10,1,1,30,10.63
10,1,2,96,22.20
10,1,3,219,24.19
10,1,4,95,26.93
10,1,5,154,40.80
100,1,1,36,5.39
100,1,2,16,9.22
100,1,3,35,11.40
100,1,4,32,11.66
100,1,5,17,24.35
101,1,1,54,9.22
101,1,2,54,9.85
101,1,3,45,10.30
101,1,4,54,16.16
101,1,5,55,18.87
102,1,1,100,4.12
102,1,2,35,4.47
102,1,3,34,7.21
102,1,4,15,10.05
102,1,5,35,13.89
103,1,1,16,6.32
103,1,2,35,9.22
103,1,3,13,10.82
103,1,4,16,22.85
103,1,5,33,23.09
104,1,1,35,2.83
104,1,2,15,3.00
104,1,3,20,5.39
104,1,4,74,8.06
104,1,5,57,9.49
105,1,1,49,4.47
105,1,2,35,5.83
105,1,3,57,7.00
105,1,4,25,9.43
105,1,5,58,14.32
106,1,1,159,8.60
106,1,2,133,11.18
106,1,3,75,16.55
106,1,4,96,22.47
106,1,5,163,23.41
107,1,1,58,10.63
107,1,2,36,11.40
107,1,3,36,15.52
107,1,4,58,16.16
107,1,5,15,17.46
108,1,1,34,8.06
108,1,2,15,12.04
108,1,3,34,13.00
108,1,4,14,15.26
108,1,5,15,15.65
109,1,1,17,8.54
109,1,2,36,8.94
109,1,3,15,11.40
109,1,4,17,17.80
109,1,5,,
110,1,1,34,2.24
110,1,2,34,9.06
110,1,3,38,10.44
110,1,4,50,11.31
110,1,5,30,20.88
111,1,1,35,2.24
111,1,2,38,9.22
111,1,3,36,11.18
111,1,4,35,16.28
111,1,5,36,23.41
112,1,1,59,3.16
112,1,2,35,6.00
112,1,3,75,8.25
112,1,4,55,15.00
112,1,5,76,18.25
113,1,1,56,9.43
113,1,2,35,10.05
113,1,3,33,13.45
113,1,4,16,14.32
113,1,5,16,28.16
114,1,1,32,8.06
114,1,2,22,13.34
114,1,3,14,13.60
114,1,4,15,14.32
114,1,5,55,15.00
115,1,1,36,6.08
115,1,2,35,18.03
115,1,3,35,18.60
115,1,4,35,20.02
115,1,5,35,30.81
116,1,1,35,14.42
116,1,2,15,23.02
116,1,3,96,30.61
116,1,4,34,33.73
116,1,5,59,37.74
117,1,1,14,9.43
117,1,2,58,9.49
117,1,3,35,11.31
117,1,4,55,12.04
117,1,5,35,13.00
118,1,1,35,7.62
118,1,2,14,8.60
118,1,3,35,12.81
118,1,4,35,16.49
118,1,5,14,20.25
119,1,1,16,5.83
119,1,2,13,13.45
119,1,3,16,15.56
119,1,4,58,18.97
119,1,5,14,24.21
12,1,1,96,9.22
12,1,2,96,11.40
12,1,3,115,13.34
12,1,4,68,22.02
12,1,5,55,23.35
120,1,1,94,5.83
120,1,2,34,9.49
120,1,3,25,10.00
120,1,4,76,11.40
120,1,5,35,14.14
121,1,1,16,7.62
121,1,2,57,7.81
121,1,3,13,9.06
121,1,4,50,9.22
121,1,5,36,12.21
122,1,1,32,12.04
122,1,2,38,13.60
122,1,3,23,14.87
122,1,4,58,15.30
122,1,5,35,15.65
123,1,1,35,3.61
123,1,2,37,9.22
123,1,3,17,20.25
123,1,4,36,22.83
123,1,5,40,29.41
124,1,1,54,4.00
124,1,2,53,15.81
124,1,3,53,19.85
124,1,4,34,25.18
124,1,5,16,26.00
125,1,1,15,3.00
125,1,2,35,3.61
125,1,3,12,12.21
125,1,4,15,13.60
125,1,5,32,15.30
126,1,1,15,11.00
126,1,2,15,13.60
126,1,3,34,15.03
126,1,4,14,18.25
126,1,5,34,25.00
127,1,1,38,10.44
127,1,2,34,15.81
127,1,3,153,22.00
127,1,4,42,24.60
127,1,5,35,29.83
128,1,1,36,4.12
128,1,2,38,13.34
128,1,3,27,18.36
128,1,4,22,22.63
128,1,5,35,24.08
129,1,1,16,9.85
129,1,2,38,11.40
129,1,3,14,12.04
129,1,4,16,18.00
129,1,5,36,18.97
13,1,1,75,11.05
13,1,2,95,12.21
13,1,3,96,14.87
13,1,4,96,15.65
13,1,5,76,19.21
14,1,1,314,3.61
14,1,2,153,5.00
14,1,3,341,9.90
14,1,4,230,29.55
14,1,5,488,29.73
15,1,1,57,10.30
15,1,2,154,13.15
15,1,3,199,14.14
15,1,4,113,23.19
15,1,5,250,25.71
16,1,1,96,3.16
16,1,2,77,13.00
16,1,3,56,20.62
16,1,4,118,28.60
16,1,5,75,34.21
17,1,1,117,1.41
17,1,2,76,10.20
17,1,3,72,11.40
17,1,4,112,14.42
17,1,5,76,15.65
18,1,1,116,8.94
18,1,2,16,15.81
18,1,3,38,17.00
18,1,4,75,23.26
18,1,5,119,36.62
19,1,1,143,14.04
19,1,2,37,22.36
19,1,3,77,41.77
19,1,4,94,48.37
19,1,5,,
2,1,1,76,17.20
2,1,2,56,17.89
2,1,3,76,44.01
2,1,4,36,46.39
2,1,5,55,47.41
20,1,1,51,4.00
20,1,2,57,12.21
20,1,3,57,13.89
20,1,4,32,20.02
20,1,5,56,36.12
21,1,1,194,9.49
21,1,2,175,15.00
21,1,3,170,17.00
21,1,4,293,22.02
21,1,5,132,24.70
22,1,1,157,11.40
22,1,2,174,17.03
22,1,3,196,18.36
22,1,4,232,22.36
22,1,5,135,27.46
23,1,1,173,10.20
23,1,2,194,15.26
23,1,3,299,16.16
23,1,4,115,17.26
23,1,5,56,19.10
24,1,1,231,26.00
24,1,2,195,32.53
24,1,3,197,33.02
24,1,4,1176,38.47
24,1,5,211,40.45
25,1,1,73,4.12
25,1,2,95,6.32
25,1,3,171,12.04
25,1,4,54,16.03
25,1,5,155,17.89
26,1,1,154,18.03
26,1,2,174,20.59
26,1,3,116,25.50
26,1,4,116,33.73
26,1,5,35,35.51
27,1,1,56,13.45
27,1,2,797,15.23
27,1,3,75,16.40
27,1,4,118,30.81
27,1,5,34,38.59
28,1,1,95,8.06
28,1,2,76,16.55
28,1,3,78,19.10
28,1,4,76,22.14
28,1,5,158,26.08
3,1,1,235,13.60
3,1,2,208,14.87
3,1,3,234,17.09
3,1,4,217,21.26
3,1,5,272,24.84
30,1,1,291,4.24
30,1,2,162,12.81
30,1,3,194,19.10
30,1,4,277,20.02
30,1,5,56,22.83
31,1,1,553,4.12
31,1,2,451,7.07
31,1,3,510,9.49
31,1,4,1547,12.04
31,1,5,656,16.12
32,1,1,297,5.10
32,1,2,288,14.14
32,1,3,373,14.56
32,1,4,238,20.62
32,1,5,211,61.39
33,1,1,56,13.15
33,1,2,15,14.32
33,1,3,35,15.81
33,1,4,76,20.52
33,1,5,134,23.35
34,1,1,494,4.47
34,1,2,767,6.00
34,1,3,211,17.03
34,1,4,235,17.46
34,1,5,214,22.09
35,1,1,95,11.18
35,1,2,99,14.14
35,1,3,131,20.02
35,1,4,79,27.07
35,1,5,156,50.80
36,1,1,57,3.61
36,1,2,56,10.44
36,1,3,36,12.04
36,1,4,15,23.35
36,1,5,30,29.41
37,1,1,756,5.00
37,1,2,193,12.04
37,1,3,174,13.15
37,1,4,273,24.08
37,1,5,175,26.00
38,1,1,96,8.60
38,1,2,113,12.37
38,1,3,113,14.87
38,1,4,135,19.00
38,1,5,142,25.08
39,1,1,540,1.00
39,1,2,528,9.22
39,1,3,655,27.29
39,1,4,2027,29.02
39,1,5,132,61.00
4,1,1,57,9.85
4,1,2,15,14.87
4,1,3,57,15.52
4,1,4,51,15.62
4,1,5,35,18.87
40,1,1,39,11.66
40,1,2,37,14.32
40,1,3,75,15.30
40,1,4,78,18.03
40,1,5,90,18.25
41,1,1,57,10.77
41,1,2,74,12.08
41,1,3,36,15.00
41,1,4,1074,20.81
41,1,5,96,24.41
42,1,1,29,6.32
42,1,2,117,16.40
42,1,3,76,24.52
42,1,4,55,26.00
42,1,5,49,60.44
43,1,1,578,6.71
43,1,2,580,7.07
43,1,3,235,15.00
43,1,4,620,49.03
43,1,5,1124,56.32
44,1,1,352,4.47
44,1,2,178,17.09
44,1,3,235,17.20
44,1,4,157,54.23
44,1,5,179,62.13
45,1,1,1541,5.00
45,1,2,578,5.39
45,1,3,1000,16.00
45,1,4,389,22.02
45,1,5,15,32.00
46,1,1,203,11.66
46,1,2,359,13.00
46,1,3,674,16.76
46,1,4,334,18.03
46,1,5,199,25.02
47,1,1,374,14.76
47,1,2,2953,29.53
47,1,3,1221,42.43
47,1,4,285,65.19
47,1,5,,
48,1,1,77,16.55
48,1,2,38,25.81
48,1,3,87,30.81
48,1,4,75,36.77
48,1,5,58,57.71
49,1,1,57,17.03
49,1,2,76,20.81
49,1,3,35,22.67
49,1,4,36,41.44
49,1,5,16,43.17
5,1,1,58,3.61
5,1,2,77,7.21
5,1,3,76,10.05
5,1,4,55,23.54
5,1,5,33,35.44
50,1,1,115,15.26
50,1,2,135,16.12
50,1,3,133,19.72
50,1,4,73,27.86
50,1,5,98,32.76
51,1,1,415,8.25
51,1,2,796,12.00
51,1,3,216,17.00
51,1,4,375,21.02
51,1,5,293,45.71
52,1,1,1040,3.61
52,1,2,118,12.81
52,1,3,96,17.20
52,1,4,116,31.89
52,1,5,559,68.95
53,1,1,603,3.61
53,1,2,283,7.21
53,1,3,434,8.54
53,1,4,155,9.49
53,1,5,328,17.03
54,1,1,37,20.25
54,1,2,835,37.36
54,1,3,83,59.14
54,1,4,823,59.68
54,1,5,16,64.90
55,1,1,1833,7.07
55,1,2,1088,11.40
55,1,3,417,13.04
55,1,4,255,16.97
55,1,5,1261,59.03
56,1,1,193,22.20
56,1,2,57,26.91
56,1,3,35,60.53
56,1,4,,
56,1,5,,
57,1,1,118,3.61
57,1,2,3847,9.49
57,1,3,214,15.81
57,1,4,256,18.68
57,1,5,1,62.68
58,1,1,290,6.08
58,1,2,94,14.87
58,1,3,236,31.14
58,1,4,646,34.13
58,1,5,287,35.44
59,1,1,75,6.08
59,1,2,81,12.21
59,1,3,53,16.28
59,1,4,36,17.72
59,1,5,102,26.93
6,1,1,110,6.00
6,1,2,89,11.18
6,1,3,97,18.25
6,1,4,95,46.17
6,1,5,94,48.37
60,1,1,54,2.24
60,1,2,294,13.00
60,1,3,214,25.61
60,1,4,191,28.16
60,1,5,36,36.62
61,1,1,94,8.94
61,1,2,182,23.32
61,1,3,72,30.15
61,1,4,78,37.36
61,1,5,77,41.88
62,1,1,269,7.62
62,1,2,254,8.25
62,1,3,272,12.04
62,1,4,271,16.28
62,1,5,33,51.09
63,1,1,51,4.00
63,1,2,69,8.60
63,1,3,56,9.06
63,1,4,75,16.12
63,1,5,37,16.12
64,1,1,667,2.24
64,1,2,456,8.49
64,1,3,1281,17.72
64,1,4,803,20.62
64,1,5,678,20.81
65,1,1,339,27.20
65,1,2,215,36.01
65,1,3,190,38.21
65,1,4,230,53.81
65,1,5,198,57.00
66,1,1,51,15.65
66,1,2,174,25.00
66,1,3,73,31.62
66,1,4,55,34.93
66,1,5,13,38.90
67,1,1,518,11.18
67,1,2,386,13.60
67,1,3,112,21.54
67,1,4,194,36.80
67,1,5,139,51.40
68,1,1,315,5.39
68,1,2,212,12.08
68,1,3,635,17.72
68,1,4,406,22.63
68,1,5,235,45.28
69,1,1,215,10.00
69,1,2,281,43.42
69,1,3,1084,54.92
69,1,4,114,65.86
69,1,5,,
70,1,1,137,8.06
70,1,2,97,10.00
70,1,3,149,13.60
70,1,4,136,22.85
70,1,5,,
71,1,1,139,19.10
71,1,2,93,21.54
71,1,3,139,24.21
71,1,4,152,29.73
71,1,5,120,51.48
72,1,1,492,4.00
72,1,2,531,6.32
72,1,3,691,29.15
72,1,4,483,32.70
72,1,5,559,37.36
73,1,1,35,3.61
73,1,2,33,17.72
73,1,3,1492,22.47
73,1,4,2491,37.74
73,1,5,36,42.06
74,1,1,94,5.39
74,1,2,77,8.25
74,1,3,138,11.18
74,1,4,47,17.26
74,1,5,97,38.59
75,1,1,117,17.69
75,1,2,97,18.68
75,1,3,57,22.36
75,1,4,156,25.61
75,1,5,137,28.60
76,1,1,134,11.40
76,1,2,136,12.21
76,1,3,135,18.25
76,1,4,136,20.00
76,1,5,117,44.28
77,1,1,114,14.00
77,1,2,92,14.32
77,1,3,139,22.47
77,1,4,321,24.08
77,1,5,56,24.17
78,1,1,135,15.13
78,1,2,176,15.26
78,1,3,191,18.60
78,1,4,116,27.31
78,1,5,97,40.05
79,1,1,74,8.25
79,1,2,79,11.18
79,1,3,76,28.02
79,1,4,54,40.02
79,1,5,58,42.15
8,1,1,57,11.66
8,1,2,59,16.00
8,1,3,56,22.80
8,1,4,30,22.85
8,1,5,76,28.32
80,1,1,1178,8.54
80,1,2,658,13.00
80,1,3,2977,13.15
80,1,4,1629,16.12
80,1,5,1503,18.00
81,1,1,86,3.61
81,1,2,125,23.02
81,1,3,75,26.93
81,1,4,75,35.47
81,1,5,415,49.25
82,1,1,908,3.16
82,1,2,1539,5.39
82,1,3,655,14.32
82,1,4,414,23.09
82,1,5,,
83,1,1,344,2.83
83,1,2,218,6.71
83,1,3,259,8.25
83,1,4,179,31.06
83,1,5,55,33.12
84,1,1,217,18.25
84,1,2,458,24.08
84,1,3,153,45.00
84,1,4,83,46.84
84,1,5,610,48.83
85,1,1,118,7.21
85,1,2,174,10.77
85,1,3,96,14.14
85,1,4,115,16.55
85,1,5,114,20.00
86,1,1,55,15.81
86,1,2,218,21.38
86,1,3,500,23.77
86,1,4,203,25.55
86,1,5,76,38.60
87,1,1,192,10.20
87,1,2,116,10.82
87,1,3,155,13.89
87,1,4,239,20.02
87,1,5,274,34.44
88,1,1,352,7.00
88,1,2,292,7.00
88,1,3,334,12.81
88,1,4,512,14.87
88,1,5,409,27.78
89,1,1,38,13.00
89,1,2,16,21.02
89,1,3,55,21.19
89,1,4,35,25.94
89,1,5,32,50.80
9,1,1,385,5.00
9,1,2,368,14.21
9,1,3,503,15.62
9,1,4,248,17.26
9,1,5,272,17.46
90,1,1,59,19.72
90,1,2,57,21.26
90,1,3,72,22.47
90,1,4,75,25.00
90,1,5,93,38.63
93,1,1,115,1.00
93,1,2,78,13.34
93,1,3,56,18.68
93,1,4,112,31.83
93,1,5,78,40.85
94,1,1,238,8.54
94,1,2,432,11.40
94,1,3,255,23.32
94,1,4,103,25.24
94,1,5,390,26.40
