participant,device,trial,dbltapTime,dbltapTime1,dbltapTime2,dbltapTimeBetween,dbltapAccuracy1,dbltapAccuracy2,dbltapAccuracy
1,2,0,405,72,74,212,16.55,35.51,30.56
10,2,0,418,55,84,217,15.62,2.00,12.08
100,2,0,177,39,58,80,4.24,8.06,9.88
101,2,0,216,51,63,74,6.08,3.61,7.28
102,2,0,195,18,48,66,2.83,8.06,5.89
103,2,0,164,36,27,52,7.28,9.43,9.82
104,2,0,207,46,34,70,11.70,2.24,6.97
105,2,0,229,56,48,100,4.00,8.60,6.30
106,2,0,340,123,107,72,7.21,15.81,11.51
107,2,0,35,14,5,16,9.49,17.89,14.87
108,2,0,139,20,36,49,10.00,18.00,14.00
109,2,0,233,65,37,96,4.12,2.24,3.18
110,2,0,18,16,1,1,15.00,6.71,10.85
111,2,0,51,14,22,15,5.10,3.61,4.35
112,2,0,215,39,57,51,14.14,11.40,13.78
113,2,0,225,2,46,103,6.40,9.49,8.79
114,2,0,31,14,10,7,20.02,16.76,20.36
115,2,0,203,46,32,70,1.00,5.00,3.00
116,2,0,202,61,2,82,3.61,7.21,5.67
117,2,0,178,20,44,70,10.63,3.16,7.55
118,2,0,138,0,21,70,19.70,9.06,20.50
119,2,0,35,13,9,13,8.25,4.24,10.68
12,2,0,365,57,60,168,3.61,4.12,8.60
120,2,0,6,2,2,2,10.20,13.34,11.77
121,2,0,199,55,40,60,16.28,15.30,16.05
122,2,0,165,39,29,80,13.34,11.40,12.37
123,2,0,203,44,51,82,7.07,10.00,11.18
124,2,0,235,58,55,92,5.39,3.61,7.91
125,2,0,233,58,38,99,27.51,8.25,21.49
126,2,0,264,20,2,151,18.11,2.00,10.06
127,2,0,118,13,25,3,24.04,10.00,17.02
128,2,0,6,2,2,2,10.00,6.08,12.16
129,2,0,152,56,46,28,8.06,13.60,14.40
13,2,0,258,86,66,106,7.07,18.60,16.05
14,2,0,690,236,137,224,9.90,9.43,14.48
15,2,0,408,59,51,259,6.40,3.61,5.00
16,2,0,326,56,47,171,13.42,26.31,19.86
17,2,0,534,92,73,290,11.18,8.00,11.83
18,2,0,273,46,28,199,14.87,10.30,18.98
19,2,0,,,,,,,
2,2,0,313,74,58,169,23.00,11.05,26.88
20,2,0,285,37,39,160,13.00,12.21,12.60
21,2,0,599,163,135,189,18.38,12.08,16.00
22,2,0,495,96,91,242,7.21,11.05,23.30
23,2,0,373,72,60,209,15.52,19.10,17.31
24,2,0,627,222,116,200,9.06,3.61,6.76
25,2,0,384,49,64,193,2.00,3.16,8.38
26,2,0,370,70,54,239,24.08,15.62,22.23
27,2,0,346,40,74,158,15.13,12.04,21.96
28,2,0,365,44,54,265,9.06,13.42,15.95
3,2,0,514,108,89,222,9.43,2.24,12.40
30,2,0,635,181,139,287,8.54,6.32,7.43
31,2,0,719,182,303,226,14.00,5.39,9.69
32,2,0,1754,477,560,241,8.94,16.76,12.85
33,2,0,437,53,52,317,9.49,7.28,13.94
34,2,0,541,150,86,216,20.25,17.12,20.59
35,2,0,362,74,54,208,7.81,8.06,7.94
36,2,0,492,34,59,375,10.77,10.77,16.40
37,2,0,964,277,324,211,7.62,17.89,17.97
38,2,0,392,73,66,253,5.00,3.16,12.05
39,2,0,244,62,81,101,29.41,47.71,38.56
4,2,0,317,63,68,160,13.60,8.06,16.85
40,2,0,366,75,56,230,14.56,5.00,16.47
41,2,0,497,75,57,342,22.36,8.54,15.45
42,2,0,458,63,57,308,9.22,14.14,16.20
43,2,0,590,57,156,267,10.77,5.66,9.99
44,2,0,1101,470,86,545,26.25,67.01,46.63
45,2,0,774,52,126,67,11.40,23.00,28.64
46,2,0,1211,418,148,573,10.30,10.77,12.78
47,2,0,643,252,160,202,13.60,4.12,10.66
48,2,0,560,57,47,426,2.83,18.03,14.18
49,2,0,469,51,29,364,15.23,13.04,14.13
5,2,0,210,62,51,97,9.49,3.61,6.55
50,2,0,629,59,67,328,3.16,15.26,12.63
