participant,device,trial,multidragdropTime,multiAccuracy1,multiAccuracy2,multiAccuracy3,multiAccuracy4,multiAccuracy,multiPathAccuracy1,multiPathAccuracy2,multiPathAccuracy
1,2,0,2506,30.87,14.76,30.68,40.72,29.26,.9601,.9917,.9759
10,2,0,7763,12.04,32.06,28.46,30.41,25.74,.8597,.7351,.7974
100,2,0,1378,10.05,26.91,8.54,20.25,20.85,.9941,.9976,.9950
101,2,0,1985,4.47,21.95,19.42,33.62,26.90,.9924,.9938,.9931
102,2,0,838,5.10,20.25,11.40,26.48,24.41,.9975,.9983,.9979
103,2,0,1459,6.08,18.00,10.20,20.25,17.55,.9955,.9956,.9947
104,2,0,943,13.60,36.40,14.21,14.87,26.21,.9981,.9989,.9985
105,2,0,1286,12.73,18.60,5.00,16.00,15.74,.9942,.9945,.9944
106,2,0,3684,13.93,18.03,37.48,29.53,30.70,.9856,.9734,.9740
107,2,0,1091,5.66,15.52,12.37,9.49,19.48,.9958,.9949,.9953
108,2,0,657,6.40,37.44,16.40,14.04,25.04,.9957,.9981,.9938
109,2,0,547,5.00,45.61,16.12,6.08,23.85,.9958,.9989,.9973
110,2,0,1030,12.81,31.00,5.83,29.15,25.48,.9989,.9966,.9978
111,2,0,1379,21.63,12.21,4.24,13.04,26.16,.9857,.9945,.9825
112,2,0,1613,14.14,18.60,9.06,4.47,17.25,.9839,.9749,.9794
113,2,0,1143,14.14,29.83,22.09,15.81,24.00,.9929,.9976,.9952
114,2,0,2360,1.41,18.03,2.24,3.00,23.18,.9687,.9003,.9004
115,2,0,1268,9.85,15.56,13.34,12.21,22.91,.9945,.9963,.9954
116,2,0,1495,22.36,18.60,5.10,31.24,26.53,.9906,.9926,.9906
117,2,0,798,13.00,5.66,14.32,12.04,16.02,.9983,.9965,.9973
118,2,0,991,10.05,26.93,36.12,18.11,32.04,.9920,.9918,.9916
119,2,0,527,14.04,14.32,16.12,8.06,27.05,.9990,.9975,.9977
12,2,0,2095,9.06,16.28,7.07,16.28,19.27,.9678,.9899,.9789
120,2,0,1119,10.44,25.55,3.61,17.69,19.81,.9933,.9978,.9951
121,2,0,773,1.41,19.80,21.93,15.26,21.76,.9982,.9984,.9983
122,2,0,1108,8.60,33.94,17.26,30.02,24.94,.9514,.9882,.9698
123,2,0,954,22.00,10.44,11.18,30.48,27.08,.9952,.9984,.9968
124,2,0,1571,12.81,26.25,6.32,22.20,19.57,.9830,.9913,.9872
125,2,0,1319,12.37,14.14,18.44,8.60,16.93,.9956,.9954,.9950
126,2,0,1259,10.44,26.93,21.47,21.02,23.34,.9938,.9982,.9946
127,2,0,1006,15.03,18.87,5.39,25.46,20.75,.9888,.9858,.9873
128,2,0,1047,11.66,22.83,28.18,31.38,28.30,.9965,.9986,.9970
129,2,0,2265,15.00,20.81,9.43,10.77,18.20,.9786,.9878,.9832
13,2,0,4033,7.07,17.80,12.81,25.61,22.13,.9668,.8959,.9313
14,2,0,5232,21.63,7.62,38.90,33.42,25.39,.8589,.8291,.8440
15,2,0,2680,15.65,15.00,21.26,14.21,24.40,.9912,.9903,.9908
16,2,0,2304,10.30,23.09,20.62,26.25,26.02,.9926,.9907,.9917
17,2,0,2846,7.81,14.76,14.32,20.25,23.73,.9594,.9580,.9559
18,2,0,3967,1.00,22.09,7.07,12.37,18.26,.9938,.9926,.9923
19,2,0,,,,,,,,,
2,2,0,2019,18.87,13.60,16.76,19.10,24.52,.9975,.9970,.9972
20,2,0,3369,6.40,26.17,20.52,20.62,21.18,.9873,.9889,.9807
21,2,0,,,,,,,,,
22,2,0,5692,38.47,26.31,24.70,22.83,28.08,.8895,.9399,.9147
23,2,0,,,,,,,,,
24,2,0,5718,29.41,29.83,41.44,33.62,33.57,.9706,.9799,.9753
25,2,0,,,,,,,,,
26,2,0,3180,5.39,23.35,12.17,34.48,23.53,.9816,.9885,.9851
27,2,0,3969,31.14,22.00,10.63,22.83,25.93,.8639,.9291,.8854
28,2,0,5399,22.47,21.21,12.21,12.21,20.03,.9925,.9861,.9871
3,2,0,2466,11.70,18.03,1.41,27.66,20.13,.9956,.9925,.9941
30,2,0,4584,14.04,32.65,4.12,20.02,24.18,.9225,.9287,.9256
31,2,0,,,,,,,,,
32,2,0,,,,,,,,,
33,2,0,9931,22.36,16.03,13.89,18.60,22.00,.9274,.9580,.9427
34,2,0,2189,36.01,30.48,9.00,34.79,31.82,.9947,.9534,.9740
35,2,0,,,,,,,,,
36,2,0,2464,5.10,20.62,14.56,24.08,21.09,.9939,.9904,.9922
37,2,0,4364,12.08,19.85,32.89,26.93,28.52,.9223,.8743,.8725
38,2,0,7464,17.46,23.85,8.60,48.01,25.77,.9741,.9888,.9815
39,2,0,,,,,,,,,
4,2,0,3636,10.00,27.20,19.24,29.07,21.38,.8459,.8914,.8686
40,2,0,2979,12.65,30.61,38.28,25.46,29.30,.8625,.9898,.9261
41,2,0,9558,15.52,26.08,32.25,41.40,28.81,.8553,.9379,.8966
42,2,0,,,,,,,,,
43,2,0,,,,,,,,,
44,2,0,,,,,,,,,
45,2,0,,,,,,,,,
46,2,0,,,,,,,,,
47,2,0,,,,,,,,,
48,2,0,6212,15.03,18.38,11.66,19.70,23.08,.9137,.9614,.8911
49,2,0,,,,,,,,,
5,2,0,6299,35.01,18.44,21.19,22.20,24.21,.9146,.8216,.8681
50,2,0,,,,,,,,,
51,2,0,3737,54.42,3.00,15.56,31.76,26.19,.9774,.9825,.9799
52,2,0,,,,,,,,,
53,2,0,,,,,,,,,
54,2,0,,,,,,,,,
55,2,0,,,,,,,,,
56,2,0,,,,,,,,,
57,2,0,,,,,,,,,
58,2,0,,,,,,,,,
59,2,0,,,,,,,,,
6,2,0,6103,32.39,16.28,18.97,33.12,28.20,.9298,.9347,.9153
60,2,0,,,,,,,,,
61,2,0,2071,21.40,28.43,21.26,24.41,30.37,.9910,.9921,.9916
62,2,0,5669,41.59,57.04,33.24,32.65,41.13,.9472,.9092,.9282
63,2,0,3813,14.14,33.02,6.40,32.28,23.05,.9872,.9703,.9787
64,2,0,7252,20.40,68.12,31.38,27.20,36.78,.9358,.8691,.9025
65,2,0,5201,64.01,27.59,27.46,24.17,35.80,.9522,.7981,.8752
66,2,0,2581,3.00,27.80,11.40,10.05,22.97,.9923,.9921,.9922
67,2,0,,,,,,,,,
68,2,0,4350,62.13,25.32,57.08,29.21,43.43,.8406,.8974,.8690
69,2,0,,,,,,,,,
70,2,0,2556,19.24,22.56,5.83,14.76,18.25,.9859,.9853,.9831
71,2,0,,,,,,,,,
72,2,0,,,,,,,,,
73,2,0,5777,28.18,43.42,46.10,40.11,39.45,.9674,.9616,.9645
74,2,0,,,,,,,,,
75,2,0,7571,10.82,26.40,24.76,34.53,24.13,.8819,.8972,.8895
76,2,0,,,,,,,,,
77,2,0,,,,,,,,,
78,2,0,3881,11.40,16.55,14.87,13.60,20.70,.9953,.9742,.9819
79,2,0,3603,5.39,27.59,14.87,34.79,25.66,.9665,.9893,.9014
8,2,0,3511,14.56,18.36,4.00,14.76,20.43,.9927,.9925,.9926
80,2,0,,,,,,,,,
81,2,0,,,,,,,,,
82,2,0,6641,47.93,3.00,54.12,25.08,32.53,.8404,.9375,.8890
83,2,0,,,,,,,,,
84,2,0,,,,,,,,,
85,2,0,,,,,,,,,
86,2,0,6475,13.45,14.21,13.93,39.62,20.30,.9506,.8523,.9014
87,2,0,3104,23.02,38.08,40.00,17.89,32.40,.9813,.9960,.9887
88,2,0,,,,,,,,,
89,2,0,,,,,,,,,
9,2,0,,,,,,,,,
90,2,0,3074,2.24,14.32,13.42,25.18,20.80,.9692,.9856,.9774
93,2,0,7834,28.65,36.06,17.09,37.44,29.81,.7816,.7762,.7789
94,2,0,4172,21.84,25.50,15.62,19.72,27.08,.9837,.9889,.9656
