participant,device,trial,sgldragdropTime,slgdragdropAccuracy1,sgldragdropAccuracy2,sgldragdropAccuracy,sgldragdropPathAccuracy
1,2,0,4709,13.45,22.20,26.43,.9809
10,2,0,3773,10.30,29.07,24.56,.9371
100,2,0,895,3.16,9.22,6.19,.9986
101,2,0,1747,13.42,37.54,26.38,.9920
102,2,0,608,22.83,21.63,30.16,.9982
103,2,0,875,8.60,20.12,20.56,.9973
104,2,0,728,11.40,13.42,18.27,.9980
105,2,0,1207,6.71,20.52,19.69,.9970
106,2,0,1590,6.32,25.06,17.05,.9871
107,2,0,616,11.70,22.20,19.98,.9993
108,2,0,604,25.46,11.40,20.71,.9986
109,2,0,662,4.47,16.28,13.47,.9966
110,2,0,897,4.12,23.35,18.09,.9967
111,2,0,928,8.60,15.30,15.48,.9892
112,2,0,1054,10.30,14.14,12.22,.9917
113,2,0,737,13.42,25.61,19.72,.9974
114,2,0,1053,12.37,16.97,14.67,.9931
115,2,0,1049,5.66,14.42,13.32,.9969
116,2,0,806,18.44,25.06,26.61,.9980
117,2,0,849,9.49,23.41,16.45,.9988
118,2,0,667,6.00,18.68,18.29,.9987
119,2,0,360,6.08,22.47,29.74,.9990
12,2,0,1418,4.47,22.02,18.73,.9907
120,2,0,801,2.00,10.20,13.37,.9988
121,2,0,556,1.00,16.28,11.92,.9982
122,2,0,936,6.32,10.30,8.31,.9970
123,2,0,648,19.72,19.24,19.48,.9985
124,2,0,994,6.32,5.00,9.88,.9984
125,2,0,729,5.10,8.06,6.58,.9992
126,2,0,1112,10.63,19.42,18.29,.9942
127,2,0,676,5.66,17.26,11.46,.9964
128,2,0,721,10.05,29.07,24.16,.9975
129,2,0,1131,3.16,17.46,11.78,.9947
13,2,0,2352,9.85,31.89,20.87,.9930
14,2,0,4440,18.68,18.79,24.52,.9170
15,2,0,2437,7.21,15.00,14.79,.9944
16,2,0,2616,14.04,20.52,22.16,.9240
17,2,0,2067,18.03,22.80,25.05,.9835
18,2,0,2157,11.18,22.14,16.66,.9943
19,2,0,2464,17.09,24.17,20.63,.9822
2,2,0,1348,7.28,27.31,18.17,.9965
20,2,0,3906,12.53,7.21,14.40,.9910
21,2,0,7336,11.40,25.00,21.35,.9438
22,2,0,3097,9.43,19.21,15.42,.8680
23,2,0,4687,14.42,26.68,20.55,.9379
24,2,0,6033,17.80,23.35,27.12,.9610
25,2,0,7346,18.60,28.02,25.75,.9468
26,2,0,2785,4.47,24.70,18.43,.9917
27,2,0,1600,13.42,26.25,19.83,.9537
28,2,0,2314,23.85,27.59,26.79,.9950
3,2,0,1887,7.07,17.03,15.24,.9963
30,2,0,2580,15.81,19.65,21.33,.9706
31,2,0,5020,15.00,12.81,19.21,.9595
32,2,0,7168,12.37,22.67,20.09,.9582
33,2,0,4912,9.22,20.52,18.75,.9448
34,2,0,1705,2.83,9.49,11.24,.9904
35,2,0,1802,21.47,8.60,15.31,.9935
36,2,0,2367,9.22,18.11,16.63,.9926
37,2,0,4438,17.26,14.32,23.17,.9290
38,2,0,3327,10.82,16.12,18.61,.9881
39,2,0,5735,21.84,21.26,24.52,.9171
4,2,0,3478,8.06,22.02,21.72,.9729
40,2,0,1363,7.07,15.00,17.16,.9935
41,2,0,4407,25.08,23.26,28.81,.9542
42,2,0,2026,6.08,22.85,16.28,.9866
43,2,0,3420,17.09,17.49,17.29,.9891
44,2,0,6235,23.19,33.54,35.37,.7845
45,2,0,6607,15.65,17.03,23.40,.8857
46,2,0,5154,8.54,24.08,18.69,.8945
47,2,0,5464,16.16,25.08,20.62,.8578
48,2,0,481,37.22,19.42,34.93,.9009
49,2,0,3755,12.04,27.31,20.82,.9462
5,2,0,4369,7.07,21.02,14.08,.9249
50,2,0,3163,16.28,37.22,26.97,.9898
51,2,0,2864,11.70,47.54,30.68,.9910
52,2,0,5250,17.89,14.56,23.52,.9579
53,2,0,5268,20.52,33.30,29.03,.9732
54,2,0,2571,19.42,41.87,30.64,.9912
55,2,0,6098,19.42,14.87,27.34,.9808
56,2,0,7138,11.00,42.43,28.65,.9696
57,2,0,9657,9.49,18.79,19.45,.8821
58,2,0,4999,14.32,17.03,19.46,.8667
59,2,0,6111,7.07,11.00,9.04,.8773
6,2,0,3025,10.00,30.00,22.30,.9516
60,2,0,4157,2.24,22.20,19.86,.9881
61,2,0,1359,14.32,14.42,25.97,.9890
62,2,0,7117,8.94,15.65,12.30,.9704
63,2,0,2514,17.12,12.17,20.40,.9811
64,2,0,4629,38.28,29.15,33.72,.9664
65,2,0,2193,15.23,14.21,26.66,.9960
66,2,0,2507,20.02,9.43,18.80,.9831
67,2,0,7538,24.41,21.47,33.99,.9678
68,2,0,4101,11.31,10.82,24.98,.9746
69,2,0,,,,,
70,2,0,2368,17.69,2.24,11.89,.9920
71,2,0,4075,11.40,2.24,18.22,.9272
72,2,0,2730,9.49,22.02,15.75,.9833
73,2,0,4886,17.69,26.40,25.71,.9128
74,2,0,5357,17.20,16.40,18.32,.9637
75,2,0,4247,2.24,16.12,9.18,.9561
76,2,0,9004,20.62,17.69,27.02,.9017
77,2,0,4093,12.21,11.40,11.80,.9861
78,2,0,2978,17.69,24.76,27.59,.9915
79,2,0,2776,7.07,15.52,13.35,.9930
8,2,0,2387,20.25,20.62,24.31,.9910
80,2,0,4794,9.85,16.00,15.62,.9412
81,2,0,2752,16.28,16.55,21.59,.9843
82,2,0,,,,,
83,2,0,4251,18.97,5.83,20.16,.8556
84,2,0,,,,,
85,2,0,5157,23.71,7.21,22.64,.9855
86,2,0,4981,8.06,16.64,23.76,.9870
87,2,0,2987,18.44,16.76,19.23,.9867
88,2,0,2631,19.72,16.12,17.92,.9758
89,2,0,2251,13.04,18.60,20.54,.9812
9,2,0,2515,8.00,29.61,24.91,.9886
90,2,0,1556,6.08,9.06,16.64,.9965
93,2,0,6108,9.43,23.35,18.86,.9523
94,2,0,3383,14.32,25.08,22.67,.9724
