participant,device,trial,tapTime,tapAccuracy
1,2,1,157,19.24
1,2,2,115,21.10
1,2,3,332,23.54
1,2,4,109,37.70
1,2,5,89,39.22
10,2,1,74,14.76
10,2,2,358,16.64
10,2,3,84,34.01
10,2,4,46,38.64
10,2,5,150,42.30
100,2,1,56,6.08
100,2,2,54,13.45
100,2,3,77,20.81
100,2,4,56,21.02
100,2,5,53,29.07
101,2,1,66,5.39
101,2,2,66,6.08
101,2,3,3,6.32
101,2,4,95,13.60
101,2,5,86,25.94
102,2,1,33,6.40
102,2,2,55,12.81
102,2,3,40,15.00
102,2,4,57,23.77
102,2,5,64,29.70
103,2,1,48,5.39
103,2,2,47,14.21
103,2,3,35,17.80
103,2,4,21,19.21
103,2,5,39,22.36
104,2,1,37,10.82
104,2,2,50,15.13
104,2,3,57,22.80
104,2,4,0,30.41
104,2,5,46,50.45
105,2,1,63,11.70
105,2,2,63,13.60
105,2,3,52,20.12
105,2,4,47,21.40
105,2,5,64,23.02
106,2,1,86,31.32
106,2,2,573,31.58
106,2,3,905,33.96
106,2,4,65,41.44
106,2,5,120,41.59
107,2,1,13,11.18
107,2,2,13,16.76
107,2,3,77,30.53
107,2,4,65,32.28
107,2,5,47,33.60
108,2,1,45,14.00
108,2,2,45,20.22
108,2,3,30,22.85
108,2,4,56,26.48
108,2,5,45,32.56
109,2,1,66,7.28
109,2,2,55,12.81
109,2,3,66,21.93
109,2,4,66,23.77
109,2,5,48,25.24
110,2,1,32,6.71
110,2,2,27,7.21
110,2,3,40,15.03
110,2,4,53,17.12
110,2,5,56,33.97
111,2,1,34,8.06
111,2,2,56,9.22
111,2,3,46,12.37
111,2,4,37,15.23
111,2,5,56,33.11
112,2,1,66,10.82
112,2,2,272,14.87
112,2,3,62,19.21
112,2,4,141,22.14
112,2,5,46,31.32
113,2,1,85,5.39
113,2,2,90,5.66
113,2,3,117,8.00
113,2,4,46,10.05
113,2,5,69,20.62
114,2,1,37,17.46
114,2,2,45,17.80
114,2,3,96,24.19
114,2,4,82,24.33
114,2,5,37,29.07
115,2,1,46,3.61
115,2,2,37,8.60
115,2,3,55,9.22
115,2,4,14,26.40
115,2,5,46,27.31
116,2,1,42,17.80
116,2,2,74,20.02
116,2,3,81,23.35
116,2,4,92,29.73
116,2,5,67,29.83
117,2,1,56,11.40
117,2,2,56,13.45
117,2,3,46,13.60
117,2,4,57,20.02
117,2,5,45,25.55
118,2,1,487,5.00
118,2,2,35,18.38
118,2,3,35,28.18
118,2,4,2,29.83
118,2,5,55,30.41
119,2,1,57,10.00
119,2,2,86,17.03
119,2,3,46,28.16
119,2,4,33,29.41
119,2,5,46,44.05
12,2,1,71,8.60
12,2,2,78,15.30
12,2,3,88,22.47
12,2,4,84,23.35
12,2,5,74,25.30
120,2,1,72,4.24
120,2,2,59,9.49
120,2,3,76,10.05
120,2,4,56,12.53
120,2,5,2,32.70
121,2,1,48,5.83
121,2,2,54,7.28
121,2,3,77,20.02
121,2,4,66,20.40
121,2,5,2,22.14
122,2,1,46,10.00
122,2,2,47,12.21
122,2,3,37,17.46
122,2,4,48,19.85
122,2,5,50,23.60
123,2,1,56,5.00
123,2,2,32,5.66
123,2,3,66,6.71
123,2,4,2,14.42
123,2,5,60,18.87
124,2,1,67,6.71
124,2,2,58,15.03
124,2,3,55,17.03
124,2,4,68,21.38
124,2,5,58,28.84
125,2,1,60,7.28
125,2,2,66,15.23
125,2,3,85,17.03
125,2,4,70,18.25
125,2,5,57,22.02
126,2,1,76,2.24
126,2,2,64,17.00
126,2,3,93,20.02
126,2,4,60,27.46
126,2,5,54,35.38
127,2,1,29,12.53
127,2,2,73,16.40
127,2,3,36,18.03
127,2,4,41,23.54
127,2,5,69,33.06
128,2,1,73,10.77
128,2,2,72,12.65
128,2,3,65,22.36
128,2,4,2,25.00
128,2,5,66,32.89
129,2,1,47,8.94
129,2,2,51,9.90
129,2,3,66,21.38
129,2,4,47,22.20
129,2,5,63,22.67
13,2,1,111,8.06
13,2,2,72,9.22
13,2,3,97,18.44
13,2,4,216,27.51
13,2,5,89,40.31
14,2,1,218,13.42
14,2,2,146,17.80
14,2,3,221,28.46
14,2,4,310,32.70
14,2,5,159,35.36
15,2,1,147,13.04
15,2,2,91,13.42
15,2,3,242,17.00
15,2,4,302,18.25
15,2,5,133,39.81
16,2,1,62,11.05
16,2,2,73,14.76
16,2,3,108,23.71
16,2,4,97,29.53
16,2,5,76,37.22
17,2,1,106,16.76
17,2,2,93,19.24
17,2,3,78,26.57
17,2,4,97,29.07
17,2,5,76,29.61
18,2,1,137,6.00
18,2,2,106,12.81
18,2,3,87,21.10
18,2,4,94,24.17
18,2,5,206,31.83
19,2,1,92,13.34
19,2,2,56,16.12
19,2,3,71,18.44
19,2,4,105,30.53
19,2,5,137,34.01
2,2,1,49,10.30
2,2,2,48,31.78
2,2,3,68,32.06
2,2,4,78,41.77
2,2,5,56,46.01
